woord	huidige_omschrijving
VIJL	Werktuig met een ruw
NIMF	Griekse halfgodin
PIAS	Hansworst
PIEL	Soms ook gebruikt
ROEK	Corvus frugilegus
BEO	Vogelsoort die behoort
FAUN	Bosgod en veldgod
HESP	Stuk vlees
KLAM	Misleiding
NOGA	Been
PRIL	Gloednieuw
AAK	Lang vaartuig
RUT	Niets bezittend
ULO	School
BUKS	Zwaar soort geweer
EEGA	Echtgenoot
PARS	Aanhanger
PEUT	Petroleum
IJL	Met een lage dichtheid
APIS	Bij
RATA	Evenredig deel
HAF	Strandmeer
BUIL	Grote zeef
KIEN	Slim
MEUG	Lust
TOOT	Scherpe punt
IEL	Heel fijntjes
TAF	Lichte
HORA	Uur
KIFT	Jaloezie
BOST	Vijf
MALM	Jongste tijdvak
LOR	Vod
VIM	Schuurmiddel
MIRT	Groene heester
PAAP	Wereldlijk geestelijke
FUST	Verzamelnaam voor vaten
KINA	Geslacht van planten
KREK	Precies
TWIJG	Dun buigzaam takje
ZWEI	Verstelbare winkelhaak
PLU	Verkorting
AALT	Vocht afkomstig
EMOE	Drietenige loopvogel
POK	Litteken van een inenting
PUL	Eendenkuiken
IJLEN	Spoeden
IJZEL	Onderkoelde regen
KOER	Verhard terrein voor
LIJP	Gek
RIL	Groeve
BLOS	Rode kleur op de wangen
DOGE	Staatshoofd
GNOE	Connochaetes
ISME	Verzamelnaam
KINE	Verkorting
KOET	Geslacht van watervogels
PEUL	Soort onderkussen
RASP	Grofgetande vijl
REEN	Verhoging
STOL	Luxe brood met krenten
USO	Duif
AMBO	Verhoogd podium
BUDO	Verzamelterm
DAAS	Steekvlieg
KROT	Oude
ZEEN	Stofnaam voor stevig
MIJT	Opgestapelde hoop hooi
VLET	Bijboot
WENK	Teken met de hand gegeven
YANK	Amerikaan
UHD	Laatste dag
IJSCO	Ijsje
SCHA	Verkorting
ZEEG	Bolling
JUUT	Politieagent
NOEN	Twaalf uur in de middag
VLOK	Samenhangend hoopje
WURM	Worm
BEUN	Verhoogde vloer
GALM	Langdurige naklank
WIEP	Bundel stro
BLO	Schuchter
DORS	Jonge kabeljauw
ZOAB	Zeer open asfaltbeton
IJK	Merkteken
BRAT	Weefsel met een schering
KELP	Zeewier
KRAM	Wondhaakje
MOOT	Gesneden stuk vis
MOPS	Hond met stompe snuit
WIEK	Vleugel
WIJL	Poosje
HAAF	Bezit
URNE	Vaas bestemd voor de as
BETE	Stuk brood
DRIL	Lillende gelei
AFT	Kleine zweer
DOKA	Kamer zonder daglicht
UIER	Melkklier
BAMA	Stelsel of opleiding
ECRU	Kleur die zijden
KLAD	Vlek
TITI	Voorkomend
KERF	Ingesneden groef
MOTS	Paard of hond
PEEN	Straf
RIST	Groep zaken
AKER	Koperen
SMOS	Glas bier
SPIE	Plat of rond
BIJOU	Elk object
DRAB	Vaste deeltjes
DURO	Hard
SOES	Slaperige toestand
ALBE	Lang
KOLA	Tropische boom
TIMP	Broodje in de vorm
TUIL	Bos bloemen
ZERK	Bewerkte steen
KEG	Blok met één schuine kant
EEST	Droogoven
SNUL	Heel eenvoudige
STUT	Voorwerp
BALG	Opgevouwen zak
PARI	Paard
SOEK	Overwelfde nauwe straat
TALG	Huidvet
NAFT	Benzine
ORYX	Soort spiesbok
HOEP	Ring
LAAF	Vleugel
PIEF	Mannelijk mens
SLAT	Grote waterplas
TYPO	Typefout
VRAT	Wrat
IJKEN	Door meting
LEET	Bereiken
ROBE	Statig
NONI	Kleine boom
NEB	Snavel
BUUT	Eindpunt bij loopspelen
KOTO	Stad
BUUF	Vrouw
POPI	Gemaakt populair
TUL	Bolvormig voorwerp
WEM	Verbreed
RUL	Bobbelig
KADI	Islamitisch rechter
LUNS	Metalen spie die vermijdt
WIED	Onkruid
GEI	Lopend touw
HUIF	Zeildoek
JOOL	Pret
PEIS	Vrede
TJAP	Merkteken
ZEEL	Sterke brede band
KNEU	Vinkachtige zangvogel
ONTIJ	Gevaarlijke
STUC	Zand
VAIR	Pelswerk
SAAM	Met elkaar
ZWIK	Houten pin
AGIO	Bedrag dat een munt
DESA	Kleine nederzetting
HUPS	Opgewekt
GROG	Alcoholisch mengsel
OHO	Overgang
ZIJP	Plaats
HEAO	Nederlandse vorm
KRIB	Eenvoudig
VOOS	Zonder stevigheid
ZEEK	Vloeibare ontlasting
DRAS	Moerassig
RORO	Vervoer van lading
BOLK	Geslacht van zeevissen
HALM	Stro
SEKT	Mousserende witte wijn
ZODE	Plag
BAF	Plotseling hard geluid
BAUD	Eenheid
RAIO	Afgestudeerd jurist
VIEF	Nog levendig
KOND	Kennende
VORE	Groef in de aarde
FOEF	Vagina
REUT	Zooi
ZATE	Landgoed
SITS	Met bonte
SAK	Japon
STUF	Gum
VLIJM	Zeer scherp mesje
VUIG	Gemeen
HAAM	Halsband
ASEM	Adem
KNAK	Kort
LARF	Eerste fase van een dier
RAAI	Grashalm
TORS	Bovenlichaam met borst
DUTS	Stumper
