woord	huidige_omschrijving
DE	Per
VAN	Quotatief
EEN	Geheel vormend
EN	Als verkorte aanduiding
IN	Gedurende
OP	Omhoog
IK	Zon
DAT	Voegwoord
VOOR	Dichterbij dan
JE	Van jij
TE	Naar
MET	En daarbij
ZIJN	Bestaan
NIET	Ontkenning
DIE	Sterven
ALS	Wanneer
ER	Onbepaald bijwoord
OM	Mens
MAAR	Bezwaar
AAN	Verbonden met
ZE	Zij
OOK	Daarnaast
DOOR	Oorzaak
UIT	Niet aan
NAAR	Onaangenaam
BIJ	Die leven van nectar
DAN	Tijdstip in de toekomst
DIT	Het
WAS	Groei
WE	Wij
WAT	Iets
OF	Ongeveer
OVER	Voorbij
KAN	Serviesgoed
MEER	Groot water
ZO	Op die manier
AL	Reeds
GEEN	Niet één
MIJN	Plaats
WEL	Ontkenning weerleggend
TOT	Alle
NU	Om een overgang
HAAR	Haren
BEN	Zoon
VEEL	Groot
ME	Clitische vorm van mij
MOET	Dwang
HOE	Wat
NA	Dichtbij staand
WAAR	Aandeel
WERD	Waard
GOED	Kwaliteit bezittend
WIL	Bereidheid of zin
GAAN	Mogelijk zijn
ONZE	Zelfstandig
ZICH	Uzelf
DOEN	Actie ondernemen
HIER	Op deze plaats
DUS	Om die reden
MIJ	Wij
HAD	Zaad
TWEE	Getal tussen één en drie
WEER	Afweren
ZIEN	Waarnemen met het oog
WIJ	Meervoud
ECHT	Huwelijkse staat
EENS	Op enigerlei tijd
DAAR	Als locatief deel
HEEL	Niet stuk
TOCH	In weerwil van iets
DAG	Aanwezigheid
MEE	Plant
ZIJ	Vrouwelijk individu
ALLE	Elke
IETS	Zekere zaak
TOEN	Op het tijdstip dat
HEM	Zich
JA	Kreet van opwinding
WIE	Zoals
WEET	Daad van het weten
NET	Geheel
VIA	Langs
MAN	Echtgenoot
EVEN	Deelbaar door twee
AF	Klaar
LAAT	's avonds
UUR	Tijdstip
BENT	Groep
KEER	Keren
WEG	Smalle strook grond
HELE	Rijmen
WERK	Beroep
ZIT	Plaats
DRIE	Try
ZELF	Besef van identiteit
TOE	Tot
SNEL	In korte tijd
DEEL	Afsplitsing
HUIS	Gebouw bestemd
WANT	Lijnen of staalkabels
ERG	In hoge mate
LAND	Dat deel
NAAM	Bekendheid
STAD	Plaats
PER	Door middel van
LANG	Van grote duur
ELKE	Van elk
KOM	Eetgerei
PAAR	Twee geliefden
KIJK	Manier
FOTO	Afdruk
GELD	Ruilmiddel
LEUK	Grappig
VAAK	Slaap
TEN	Tien
MOOI	Prettig in voorkomen
WEEK	Zacht gedeelte
DOOD	Tot het einde komen
KON	Komen
ROND	Cirkelvormig
JOUW	Van jou
TER	Driemaal
ETEN	Nuttigen van voedsel
OUDE	Iemand die oud is
MEN	Iemand
NOU	Nauw
HOOP	Stapel
OPEN	Niet gesloten
AUTO	Voertuig met drie
DEN	Kerstboom
FILM	Dunne laag
NIKS	Geen enkel ding
ZOEK	Alleen predicatief
HEN	Hebben
ZEG	Aankondiging
VIER	Getal tussen de drie
PAS	Even tevoren
OOIT	Op een zeker tijdstip
VAST	Stevig
ZEER	Pijn
ZUID	In de richting
VRIJ	Ongebonden
BEST	Goed
IDEE	Gedachte
DER	Daar
KANS	Mogelijkheid
HAND	Uiterste deel
ZOON	Mannelijk kind
KIND	Wang
ZORG	Behoedzame overweging
BOEK	Buik
HOOR	Ter bevestiging
TEAM	Ploeg
BLIJ	Vrolijk van stemming
OUD	Van hoge leeftijd
VOL	Geheel gevuld
DRUK	Pressie
MEI	Vijfde maand van het jaar
TOP	Hoogste punt
HULP	Handeling om iemand steun
KRIJG	Gewapende strijd
VELE	Van veel
ZET	Beweging
PRIJS	Bedrag
ORDE	Gewenste regelmaat
KANT	Richting
ZAAK	Transactie of handel
TV	Afkorting
ELK	Alle afzonderlijk
EURO	Munt en munteenheid
JULI	Zevende maand
OGEN	Aanblik hebben van
STUK	Deel
ZES	Gehele getal tussen vijf
JUNI	Zesde maand van het jaar
PLEK	Plaats
ROL	Uitbeelding
VORM	Ruimtelijke begrenzing
LID	Iemand die behoort
ZAT	Verzadigd
HART	Holle spier
HEEN	In de richting van
TIEN	Gehele getal tussen negen
REST	Rust
OH	Uitroep
GOD	Goed
JAN	Eten
BANG	Knal
PLAN	Voorgenomen handelswijze
ZIN	Serie woorden
HTTP	Protocol
MENS	Zoogdier
KORT	Van geringe duur
VER	Afgelegen
WET	Vaste
EIND	Afstand
HARD	Stevig
SITE	Locatie
STAP	Plaatsen van de ene voet
BED	Meubel gemaakt
