woord	huidige_omschrijving
SLAPEN	Niet goed opletten
STUREN	Richting bepalen
VERSIE	Bepaalde vorm
WAKKER	Niet in slaap
HEERLIJK	Zeer aangenaam
ONDANKS	Ook al is het zo dat
STEMMEN	Deelnemen
DAARNAAST	Naast dat
OVERLEDEN	Gestorven
ZIEKENHUIS	Instelling
TEGENWOORDIG	Aanwezig
DICHT	Resultaat
TEKST	Woorden
VRIJDAG	Dag van de week
RELATIE	Min of meer vast verband
OVERHEID	Geheel
HELFT	Fractie
KRACHT	Uitwendige oorzaak
PAGINA	Bladzijde
RUIMTE	Vertrek
VOELEN	Gewaarworden
ZONDAG	Dag van de week
ENERGIE	Vermogen
SPREKEN	Zich met behulp
SITUATIE	Ligging
ONTVANGEN	Verkrijgen van zaken
KAART	Schematische afbeelding
GEHEEL	Alle delen
VROEGER	In voorbije tijden
GEBEUREN	Plaatshebben
VOORBEELD	Iets dat bestaat
GEZET	Zwaarlijvig
RADIO	Toestel
GEVOLG	Groep die volgt
GEZICHT	Voorkant
KEUZE	Besluit
DRAGEN	Als kledingstuk
KENNIS	Wat je weet
GELEGEN	Geschikt
PLEZIER	Staat van genoegen
GEVALLEN	Gebeuren
BETROKKEN	Die erbij horen
HOTEL	Gebouw
MARKT	Plein of straat
ZOMER	Jaargetijde tussen lente
ZWART	Hebbend
EERLIJK	Vrij van leugen
LEGGEN	Doen liggen
RUSTIG	Kalm
WINNEN	Als beste partij
CULTUUR	Patroon
DAARVAN	Van dat
ECONOMIE	Zuinigheid
LUCHT	Mengsel van gassen
PAKKEN	In de handen nemen
GESPREK	Mondelinge conversatie
PUBLIEK	Groep toeschouwers
BIJZONDER	Speciaal
GENIETEN	Voordeel hebben
MAKKELIJK	Niet moeilijk
VERSCHIL	Aspect
GEDURENDE	Van begin
BRAND	Iets dat heel warm
KUNST	Toepassing
MOORD	Handeling met het doel
SPORT	Spel
STELT	Lange stok
STRIJD	Handgemeen
BEHALVE	Naast
INVLOED	Vermogen
BEREIKEN	Fysiek het doel halen
GESLACHT	Sekse
GELUK	Prettige loop
MACHT	Vermogen zijn wil
SUPER	Grote winkel
WAARD	Geacht
KOFFIE	Warme drank
