woord	huidige_omschrijving
CAKE	Lichte
DEMO	Tonen en uitleggen
DOCH	Jawel
EZEL	Paardachtig dier
JOOP	Haagdoorn
MAND	Bak gemaakt
VEEN	Terreintype
HOP	Bepaalde plant
PAP	Vader
BORG	Iemand die garant staat
INCH	Engelse duim
KIST	Vliegjargon vliegtuig
RIEM	Band van leer
GEN	Drager
JUF	Lerares
LOF	Iemand of iets prijzen
AMBT	Officiële betrekking
BODY	Lichaam
CLIP	Klemmetje
SPUL	Materiaal
UNIT	Eenheid
VIEW	Manier van kijken
VLAM	Kleinste vorm
WIET	Softdrug die bestaat
HAK	Verhoging
MOP	Vlek
PIJL	Langwerpig projectiel
GRIP	Sterk contact
MITS	Indien
POLS	Gewricht
REDE	Vermogen te denken
ZALM	Verzamelnaam
JET	Voorwerp
LAM	Jong van het schaap
RAT	Sluwe kerel
ROK	Type avondkleding
TOL	Voorwerp
BUIT	Goederen gewonnen
CAMP	Kamp
FORS	Groot in zijn soort
KALM	Weinig in beroering
ZERO	Niets
LINT	Lange
PAGE	Bladzijde
PLAS	Verzameling van vocht
SOUL	Muziekstijl
DAL	Laagte in een heuvel-
HOPE	Verwachting
KICK	Schop
ROTS	Grote ruwe steen
VLUG	Met hoge snelheid
KAS	Omhulsel
LED	Onder leiding van
SOM	Resultaat
WEI	Stuk grasland
WIJF	Echtgenote
KAAL	Joodse gemeente
KOEL	Zonder het tonen
PIER	Regenworm
TUIG	Ding
VLOT	Drijvende constructie
JEE	Uitroep
CLAN	Zeer hechte groep
POOL	Biljartspel lijkende
WAND	Verticale afscheiding
NV	Naamloze vennootschap
JAM	Gelei van suiker
RIJP	Rijm
YES	Absoluut
CAST	Groep van acteurs
DUIK	Sprong
LOOD	Verkorting
PEER	Vrucht van de perenboom
DOG	Hond
EED	Plechtige verzekering
TIK	Zozeer
WEE	Jammerklacht
BEET	Steek door de monddelen
JOOD	Aanhanger
KLEM	Werktuig
PONY	Klein soort paard
PRET	Tegenop
ZAAD	Bevruchte kiem
AR	Meel
MKB	Verzamelterm
VEL	Dunne laag
WIJD	Met een brede lip
GOAL	Doel
HYPE	Rage
WAVE	Gebruik
ZANG	Kunst van het zingen
HUT	Primitieve behuizing
ODE	Lofdicht
ACCU	Toestel
BEAT	Ritme
KAAK	Wang
KLEI	Zeer fijne
PALM	Binnenzijde van de hand
SHOT	Foto- of filmopname
TALK	Zacht
ZULK	Zodanig
DEK	Laag die of vlak
KAR	Voertuig
KIT	Verzamelnaam
PAT	Reep stof
VWO	Afkorting
COUP	Illegale afzetting
EXPO	Verkorting
HOES	Bescherming
KRIJT	Wit mineraal
PASS	Schot naar een speler
PUIN	Onredderde toestand
KAM	Getand object
KID	Jong kind
MOM	Voorwendsel
OCH	Uitroep die verdriet
POL	Bundel
PLAK	Medaille
SNOR	Beharing tussen neus
VLEK	Vieze plek
GGZ	Organisatie die mensen
LAT	Verkorting
SEC	Eenvoudigweg
VAR	Jonge stier
BONT	Dierenhuid met vacht
DROP	Druppel
HARE	Van haar
PAUW	Siervogel
REUS	Buitengewoon grote man
SAFE	Kast of ruimte
TOOL	Hulpmiddel
VEER	Mechanische tong
BIJL	Hakwerktuig
DOS	Bundel vezels
ELS	Geslacht bomen
HAP	Beet
PIL	Elke vorm
PIT	Energie
KLIM	Tocht
ARK	Vaartuig om in te wonen
PIN	Dun metalen staafje
RUW	Oneffen
SIM	Lijn van een hengel
BAAT	Ten bate van
FIAT	Toestemming
GALA	Feestelijke gelegenheid
HAAS	Malse magere spier
HEKS	Valse tovenares
NOTA	Rekening
STEP	Zekere danspas
WAAL	Diepe plas
ZEIL	Geheel
HU	Uitroep
REM	Eenheid
SOL	Colloïdale oplossing
WEN	Wie
AKTE	Officieel document
PIEK	Kortstondige
POLO	Balsport
ROEM	Eer
BH	Beha
IC	Intensive care
MAL	Blijk gevend van gebrek
RUS	Rechercheur
AMEN	Dat zij zo
GANS	Vogel
GIFT	Geld of een voorwerp
POMP	Werktuig dat door middel
POOT	Ledemaat van een dier
SEIN	Aanduiding
WADE	Knieschijf
HIV	Virus
PAL	Onderdeel
WOL	Weefsel
BASE	Ion of molecuul
BLIJK	Teken
FLOW	Doorgaand ritme
HEMD	Kledingstuk
VONK	Oude bijnaam
WIER	Weer
DIEF	Iemand die iets steelt
EREN	Binden
HEIL	Welzijn
KNIP	Portemonnee
PARA	Rubber
ROUW	Grote smart
WERF	Plaats
GIN	Soort jenever
RUM	Sterkedrank
DOOF	Niet of minder goed
DUIF	Vogel
KOOL	Eetbare plant
MANS	Tot iets in staat
WAKE	Bijeenkomst
ZOAL	Nodigt
BAH	Uitroep die afkeuring
KIN	Akkoord
MOT	Hebben van onenigheid
GATE	Poort
HERT	Herkauwend zoogdier
