woord	huidige_omschrijving
PLAATSVINDEN	Gebeuren
BIJBEL	Exemplaar
HOORN	Uitwas
KRUIS	Geometrisch figuur
ROLLEN	Zich wentelend
TELLEN	Aantal bepalen
ARMOEDE	Toestand
DRUKKEN	Poepen
NAARTOE	In de richting van
OPKOMST	Toename in belang
OPSTAAN	Gaan staan
TOESTEL	Werktuig
TRAINEN	Door middel
CONSTANT	Altijd
PAPIEREN	Trillen
NETWERKEN	Systematisch verzamelen
OPMERKING	Gesproken
VERBERGEN	Iets ergens plaatsen
VERKLAREN	Duidelijk maken
WETGEVING	Geheel aan wetten
AUTOMATISCH	Niet bestuurd
ONDERHOUDEN	Zorgen
DOCUMENTAIRE	Op waarheid beruste film
BEURS	Houder voor munten
TREND	Richting
UNIEK	Enige in zijn soort
ZONDE	Overtreding
GELDIG	Waarvan de waarde
TRIEST	Somber stemmend
VULLEN	Vol maken
ZENDER	Toestel
COMPLEX	Ingewikkeld
OORDEEL	Mening
VERVOLG	Wat volgt
BEZORGEN	Bij iemand veroorzaken
MEDAILLE	Metalen schijf
WISKUNDE	Formele studie
ONDERHOUD	Handelingen verricht
VERBETERING	Verandering ten goede
WAARSCHUWING	Mededeling
BEKER	Trofee
ELITE	Kleine
BEREIK	Afstand
HARDER	Mugil curema
OMVANG	Omtrek
RECEPT	Voorschrift
RENNEN	Zeer snel lopen
OFFICIER	Ambtenaar
UITZICHT	Verwachting
WAAROVER	Vragend over wat
PRESTATIE	Resultaat
AMPER	Nauwelijks
FRONT	Voorkant
NAAKT	Zonder beharing
DOUCHE	Stortbad
ELDERS	Ergens anders
GEKEND	Wat je al weet
LOKAAL	Plaatselijk
PAKKET	Verzameling voorwerpen
RECORD	Hoeveelheid
VOEGEN	Afwerken van metselwerk
AFKOMST	Plaats
DAARAAN	Aan dat
FABRIEK	Plaats
INZICHT	Beseffen of erkennen
SPIEGEL	Vlakke achtersteven
VERBLIJF	Onderkomen
BEDANKEN	Weigeren aan te nemen
GEHEUGEN	Deel van de hersenen
LANDELIJK	Met betrekking
ONBEKEND	Niet behorend
VOORTAAN	Van nu af aan
OORSPRONG	Herkomst
SCHEIDING	Uiteenhalen
BEDREIGING	Mogelijk gevaar
ECONOMISCH	Zuinig
GEZELSCHAP	Groep mensen
OVERTUIGEN	Ander tuig opzetten
ONVOLDOENDE	Te laag cijfer
VOORTDUREND	Langdurig
BLIND	Vensterluik
BORST	Bovenste deel
HAREN	Gemaakt van haar
VREES	Gevoel
ZWIJGEN	Ervan afzien te spreken
ARCHIEF	Plaats
DESTIJDS	In die tijd
DIPLOMA	Bewijs van bevoegdheid
FORMULE	Opzet
PLANEET	Groot
WAARUIT	Vragend
AANVRAAG	Verzoek
DRINGEND	Met grote nadruk
MINIMAAL	Kleinst mogelijk
REDACTIE	Redigeren
VERWIJZEN	Refereren aan iets
VERVELEND	Niet boeiend
ACTIVITEIT	Bepaalde werkzaamheid
BINNENSTAD	Een
BETREFFENDE	Over
VRIENDSCHAP	Relatie van personen
DINER	Warme maaltijd
DRANK	Te drinken vloeistof
JACHT	Achtervolgen
PAUZE	Onderbreking
TAART	Diagram
LEVEND	Waarin de processen
OMROEP	Het
TEMPEL	Gebouw voor godsverering
