woord	huidige_omschrijving
MATIG	Niet zo goed
RAKET	Racket
BEAUTY	Schoonheid
COUNTY	Bestuurlijk gebied
FUTURE	Contract op basis
GEWEER	Draagbaar vuurwapen
KNOPEN	Vastzittende lus
PUTTEN	Halen uit
RINGEN	Dieren
ROEIEN	Zich met behulp
STRONT	Versterkt
TIMING	Exact
BEESTEN	Zich misdragen
BREEDTE	Afmeting loodrecht
OPKOMEN	Zichzelf
STORING	Hinderlijke onderbreking
CONDITIE	Voorwaarde
CRUCIAAL	Van beslissend
EDUCATIE	Onderwijs en opvoeding
INGRIJPEN	Handelen
PASSEREN	Voorbijgaan
UPLOADEN	Bestand
VERMAKEN	Iemand prettig
AANZETTEN	Op een kier zetten
ATMOSFEER	Gasvormig omhulsel
MATERIEEL	Betrekking hebbend
MICROFOON	Toestel
VEROVEREN	Gebied
VERZEKERD	Gewis
MINDERHEID	Groep
ROMANTISCH	Vluchtend
GENEESKUNDE	Wetenschap
GROOTMOEDER	Moeder van een ouder
HUISVESTING	Onderkomen
FOTOGRAFEREN	Afbeelding maken
ALERT	Oplettend
ATLAS	Verzameling van prenten
FRAME	Dragende constructie
GROET	Uiting
HALTE	Plaats
INVAL	Plotseling
LOBBY	Wachtruimte in een hotel
MAGIE	Toverkunst
MOTIE	Middel
MOTTO	Kernachtige uitspraak
SNOEP	Meestal grotendeels
TROEP	Rommel
UITEN	Zeggen
UZELF	Versterkte vorm van u
GULDEN	Naam voor de munteenheid
IKZELF	Versterkte vorm van ik
KOORTS	Verhoging
FORMAAT	Grootte
GERAKEN	In een plek terechtkomen
JAZEKER	Bevestiging
MENIGTE	Grote groep mensen dicht
NEIGING	Onbewust graag
ONJUIST	Niet correct
OPENLIJK	Zonder te verbergen
REGEREN	Uitoefenen
UNIFORM	Gelijke
VISSERIJ	Vangen van vis
WAANZIN	Lijden
WERELDS	Niet op het geestelijke
AFVALLEN	Gewicht verliezen
ALLROUND	Veelzijdig
ALVORENS	Luidt een handeling
BENJAMIN	Jongste of jongere
GEKLEURD	Van kleuren voorzien
OPTIMAAL	Best mogelijk
BOULEVARD	Lange
CEREMONIE	Plechtige bijeenkomst
KLEINZOON	Zoon van iemands kind
VERSLAAFD	Lichamelijk
BEGELEIDEN	Partij spelen
OPSTELLING	Gedrag
ACHTERSTAND	Verschil
NATUURKUNDE	Wetenschap
PARTICULIER	Niet van de overheid
CONCENTREREN	Ontdoen
SOLIDARITEIT	Bewustzijn
FLASH	Flits
MENEN	Bedoeling hebben
PAARS	Voorwerp
SALON	Bankstel
SHORT	Kort
ALSOOK	En ook
BORREL	Klein glaasje
DIVERS	Twee of meer
GEBAAR	Beweging
GENADE	Afzien
HARTEN	Kleursoort
INTENS	Zeer krachtig
SMAKEN	Smaak hebben
STAREN	Langdurig
UITING	Dat wat men laat zien
WEKKEN	Wakker maken
KLIKKEN	Met een muis
PLAKKEN	Lijmen
VEILING	Plaats waar goederen
CARNAVAL	Volksfeest waarbij
OVERKANT	Andere zijde van een weg
SPORTIEF	Ruime plaats inruimend
VERWEZEN	Onthutst
AANHANGER	Rijdend object
EVENWICHT	Toestand
SCHAATSEN	Zich voortbewegen
EERLIJKHEID	Vertellen
NAUWKEURIG	Erg zorgvuldig
PREFECTUUR	Bureau
TEGENKOMEN	Bij toeval ontmoeten
VERLENGING	Extra speeltijd
ASSORTIMENT	Aanbod van producten
COMPENSATIE	Vereffening
VERWELKOMEN	Iemand begroeten
PAKJE	Cadeautje
RADAR	Afkorting
SHOCK	Toestand die ontstaat
STORT	Plaats
TENEN	Van teen vervaardigd
DONDER	Zeer luid geluid
DUIDEN	Uitleggen
KRAMER	Iemand die op de markt
SCHAAP	Holhoornige herkauwer
SCRIPT	Draaiboek
BELOVEN	Toezeggen
KENMERK	Kenteken
KRUIPEN	Zich laag bij de grond
UITGANG	Aansluiting
VERRAAD	Schenden van trouw
VIERING	Plaats in een kerk
VULKAAN	Vuurspuwende berg
CONTRAST	Verschil
INFECTIE	Besmetting
SYNDROOM	Ziektebeeld
BUURVROUW	Vrouw woonachtig
DICTATUUR	Staatsvorm
GELIJKSPEL	Spel dat eindigt
OBJECTIEF	Waarneembaar
ONDERKANT	Beneden
VERBAZING	Grote verwondering
AANVAARDEN	Beginnen
CHRISTELIJK	Te maken hebbend
CONCURRENT	Dezelfde rang hebbend
GRAAFSCHAP	Grondgebied
POTENTIEEL	Mogelijk
PSYCHOLOOG	Beoefenaar
ALIAS	Anders gezegd
BRUTO	Zonder aftrek
GENRE	Nou ja
KLOOF	Ten gevolge van erosie
OPHEF	Lawaai
PASTA	Benaming
INTERN	Binnen
LETSEL	Lichamelijke schade
RACHEL	Smalle plank
RESTEN	Overblijven
STAPEL	Tijdelijke constructie
WEBLOG	Dagboek op een website
ZENDEN	Sturen
ZIEKEN	Vervelend bezig zijn
KNIPPEN	Klikkend geluid
MEETING	Bijeenkomst
ROOSTER	Object bestaande
WOEDEND	Bijzonder boos
BLESSURE	Verwonding
GESCHENK	Iets dat men krijgt
MUZIKAAL	Aanleg hebbende
RELEVANT	Van toepassing
SERVEREN	Bal opslaan
SPECTRUM	Verzameling als functie
TRANSFER	Overdracht
VERRADEN	Geheim prijsgeven
WERKPLEK	Plaats
CONTINENT	Werelddeel
HARDLOPEN	Sport
OMSTREEKS	Dicht in de buurt van
RELIGIEUS	Te maken hebbend
BIOLOGISCH	Gebaseerd
HANDHAVING	Zorgen
OVERVALLEN	Zodanig verrassen
UITSPREKEN	Woord
EXPLOITATIE	Uitbuiting
RECHTSPRAAK	Is het proces
ASIEL	Verblijf
HAMER	Werktuig
KASSA	Plaats in een winkel
SLOOP	Stoffen omslag
STANK	Sterke
VEREN	Schokken opvangen
GEWEST	Landstreek
MUNTEN	Stuk metaal omvormen
OPINIE	Mening of oordeel
SQUARE	Iemand die zich richt
WERPEN	Ter wereld brengen
AFMAKEN	Doden
DUIVELS	Uitroep van verbazing
KOLONIE	Vestiging
MADONNA	Beeld of afbeelding
OPMAKEN	Iets verbruiken
ROTZOOI	Waardeloze
SCOOTER	Motorrijtuig
TRAILER	Wagen
TRIBUNE	Plaatsen
VOLDAAN	Niet langer geplaagd
BETREDEN	Zich ergens op begeven
DIAMETER	Middellijn
MYSTERIE	Voor het verstand
PUINHOOP	Bende
VOORDEUR	Hoofddeur
BEWERKING	Verandering
TWITTEREN	Twinkelend schitteren
VOLKSLIED	Lied dat dienst doet
AANDOENING	Ontroering
DISCIPLINE	Tak van wetenschap
WAARDELOOS	Bijzonder slecht
GERECHTSHOF	Rechterlijk college
INSCHRIJVING	Document
INVESTERING	Opoffering in tijd
VLUCHTELING	Iemand die uit angst
ONGEMAKKELIJK	Moeilijk
PARTICIPATIE	Actieve deelname
AMBER	Kleur tussen geel
DORST	Behoefte aan drinken
FLORA	Plantenrijk
PARFUM	Mengsel
BEHEREN	Iets leiden
KAPITAAL	Groot bedrag
OVEREIND	In verticale toestand
SCHENKEN	Geven
WEERGAVE	Opnieuw afbeelden
AANGETAST	Beschadigd
BENADEREN	Naartoe gaan
DOORSTAAN	Overleven
OUDERWETS	Niet langer gebruikt
SPORTPARK	Geheel van terreinen
SUGGESTIE	Hetgeen
VOORHOOFD	Deel van het gezicht
KLAARMAKEN	Voorbereiden
VOORPAGINA	Eerste bladzijde
BEVORDERING	Verhoging in rang
BINNENKOMEN	Ruimte betreden
PERFORMANCE	Uitvoering van een taak
VEROORDELING	Uitspraak
BLOEI	Toestand
FLUIT	Penis
HORST	Hooggebleven
