woord	huidige_omschrijving
MIK	Zwaar soort brood
PVC	Acroniem
REE	Sierlijk slank hert
BRES	Opening
DIJEN	Toenemen
DOES	Hondensoort
DOOM	Damp
KNUS	Aangenaam
SLEE	Voorwerp
YARD	Engelse vlaktemaat
ABT	Hoofd van een abdij
BAAR	Kleine verhoging
FOLK	Muziekstijl gebaseerd
GADE	Echtgenoot
KNIK	Geknakte plek
SOFA	Gestoffeerde zitbank
STIK	Steil
WOUW	Plant Reseda luteola
FEZ	Bepaald soort hoed
BLUT	Geen geld meer hebbend
DROL	Uitwerpsel
DUPE	Slachtoffer
GOUW	Gewest
KROL	Zacht wit broodje
KURK	Licht
LOMP	Zich op een onwellevende
SAGE	Traditioneel volksverhaal
REU	Mannelijke hond
GEUL	Verdieping
HASJ	Softdrug
KRUK	Simpel zitmeubel
SNEE	Inkeping gemaakt
STUG	Weinig meegevend
VAAR	Bout met schroefdraad
GUT	Uitroep
TAB	Uitstekend strookje
BOEI	Kluister voor hand
SPAT	Vier
PEP	Energie
BERM	Onverharde strook
KLIF	Steile hoge rots
MILA	Besnijdenis
MONO	Over één spoor
SNIK	Geluid
TEER	Olieachtige vloeistof
ASO	Dag
BOTS	Slag
FAAM	Reputatie
LOGE	Afgeschoten gedeelte
REEF	Bij windmolens
SPIT	Draaiende staak
TURF	Veen als brandstof
ZALF	Smeerbare massa
ZOOL	Onderkant van de voet
CRU	Wijnstreek
GIS	Slim
JUK	Houten pasvorm
NOK	Hoogste gedeelte
CAVA	Holte
DECK	Stapel speelkaarten
ERGO	Daaruit volgt
FORM	Vorm
GORT	Gepelde gerst
MIES	Ongunstig
PULP	Papachtige brij
LCD	Display op basis
POM	Boom
GEIN	Plezier
KITS	Zeiljacht
NAAD	Verbinding
NONE	Negende trap
PANG	Harde knal
RANK	Slank
HAR	Worm
NIS	Inham in een muur
SIC	Als volgt
WIP	Speeltuig bestaande
KALI	Keer
KOLK	Slurfvormige draaiing
KWAK	Hoeveelheid kleverig
OPUS	Werk van een kunstenaar
PINT	Vink
POLI	Glans
RAKE	Hijgen
SIER	Rijkelijk eten
DUNK	Mening
HAFT	Eendagsvlieg
HONK	Uitgangspunt
KNIJP	Gereedschap
LOOF	Gebladerte
PROP	Voorwerp
PULL	Trui die gemakkelijk
WEED	Marihuana
ZUIL	Groep mensen
GUL	Vrijgevig
ROE	Bundel takken
WOK	Ronde pan
ADER	Bochtige
DESK	Balie
KIWI	Harige
MILT	Klier in de buikholte
SILO	Pakhuis
TINT	Variatie van een kleur
ETS	Afbeelding gemaakt
SAX	Lang mes
BULK	Onverpakte lading
COLT	Bepaald type revolver
KUUR	Behandeling ter genezing
LORI	Vrachtwagen
MANK	Gebrekkig lopend
TEEK	Zeekoe
VALE	Vallei
DOR	Uitgedroogd door gebrek
IET	Poortje
LOB	Kwab
DUIT	Nederlandse munt
HOLA	Aanroep
JURA	Geologische tijdperk
KEET	Herrie
MOES	Moeder
VETE	Langdurige twist
BLEU	Lichtblauw
GONG	Hangend slagwerk
MUIL	Bek van een groot dier
TOOM	Riem of koord
TUI	Kabel
HULS	Tweekleppige vrucht
KOUS	Aansluitend
AVE	Wees gegroet
NEL	Troefnegen
ARBO	Boom
GEER	Ieder
HIEL	Gal
KUIT	Achterzijde van het been
SPUI	Uitlaat of sluis
TOGA	Ceremonieel kledingstuk
ZAAN	Room
ZWAM	Schimmel
FTE	Eenheid
BIES	Smal boordsel
DOLK	Kort steekwapen
DUMP	Depot
HIEP	Juichkreet
KROP	Keelzak
LIMO	Frisdrank van water
TOET	Geluid van een hoorn
AMA	Naar mijn mening
BIB	Verkorting
KOL	Vrouw
PEE	Zeventiende letter
BIET	Plant
ELAN	Animo
KINK	Deuk
MESS	Eetzaal voor officieren
SNOT	Slijmerige afscheiding
ARA	Altaar
DONS	Fijne veren
KIER	Dunne opening
KLIP	Althans tijdelijk
KWEL	Ongemak
LAKS	Nalatend
EDEL	Van adel zijn
KEMP	Kampvechter
LONT	Koord
POEF	Hard dof geluid
POSE	Manier
SANT	Heilige
PUK	Kind dat nog jong
ROG	Batoidei of Hypotremata
ALLA	Als aansporing
DAMP	Gasvormige toestand
KEEN	Scherp
GUM	Object
DODO	Uitgestorven loopvogel
PAAS	Pasen
PENS	Gerecht bereid van
PLOP	Geluid
HEG	Hechten
KOT	Klein
ICON	Icoon
PREI	Allium porrum
ROTI	Surinaams gerecht
SNOL	Vrouw
TOKO	Winkel
VLAS	Gewas
AAI	Streling
JAT	Hand
IJVER	Bereidheid
KNOT	Knoop
MINK	Ondersoort van de nerts
NASI	Vorst
SLIB	Afzetting op de bodem
SMOG	Door rook
TIET	Vrouwelijke borst
TOOG	Tapkast
BIC	Balpen
KOR	Leeftijd
OEN	Dom
BARA	Rond koekje
DATO	Feit
