woord	huidige_omschrijving
HEBBEN	Bezitten
WORDEN	Gaan zijn
KUNNEN	In staat zijn
TEGEN	Zijdelings aanleunend
MAKEN	In elkaar zetten
ALLEEN	Organische verbinding
ONDER	Op een plaats
MOETEN	Gedwongen zijn
EERSTE	Nummer één van een rij
STAAT	Toestand
ZOALS	Op dezelfde manier
KOMEN	Bewegen van verder weg
LEVEN	Doormaken
WAREN	Doelloos
ALTIJD	Op elk moment
TUSSEN	Voor en na iets in tijd
LATEN	Maakt een causatief
WAAROM	Tot welk doel
ALLES	Al het mogelijke
GROTE	Iemand die groot is
TERUG	Alweer
GEWOON	Zoals gebruikelijk
STEEDS	Zoals in een stad
EIGEN	Typisch
WILLEN	Iets als verlangen
GEVEN	Overdragen
SAMEN	Met iemand
VINDEN	Iets bedenken
PLAATS	Bepaalde ruimte
NODIG	Waar behoefte
VANAF	Van een last verlost zijn
WETEN	Ergens kennis
LAATSTE	In een reeks
KRIJGEN	Verwerven
BETER	Gezond na ziekte
ZEGGEN	Mededelen
ALLEMAAL	Als bepaling
ZULLEN	Moeten
GEMAAKT	Onecht
ANDERS	Leidt een zin
HOUDEN	Niet laten varen
GRAAG	Gretig
BLIJVEN	Ergens vertoeven
VERDER	Overig deel uitmakend
WANNEER	Op welke tijd
NIETS	Geen enkel ding
VRAGEN	Mondeling
WERKEN	Arbeid verrichten
VANDAAG	Op deze dag
DAGEN	Dag worden
EERST	In het begin
VRAAG	Verzoek
ZELFS	Kondigt een uitspraak
GEZIEN	Geacht
WERELD	Aarde
HELEMAAL	In z'n geheel
NEMEN	Iets vastpakken
GROOT	Meer dan normaal
SINDS	Sedert
ACHTER	Verder weg dan
GEDAAN	Als iets voltooid is
KIJKEN	Met de ogen waarnemen
NIEUWS	Uitzending in de media
ZITTEN	Zetelen
FAMILIE	Groep mensen
WEBSITE	Plaats
KLEINE	Kind
ONLINE	In verbintenis
MOMENT	Zeer korte tijd
MANIER	Handelswijze
POLITIE	Stadsbestuur
WATER	Geurloze
BUITEN	Niet ingesloten
GELEDEN	Woord om aan te duiden
KLAAR	Licht doorlatend
NIEUW	Recentelijk gemaakt
MANNEN	Voorzien
SEPTEMBER	Negende maand
ENIGE	Vrij klein aantal
DENKEN	Biologisch proces
ECHTER	Beperkende tegenwerping
HELPEN	Iemand bijstaan
GEBRUIK	Standaard manier
LATER	Verder verstreken
MAART	Derde maand van het jaar
BEETJE	Kleine hoeveelheid
BEKEND	Vertrouwd
GENOEG	Voldoende
MOGELIJK	Keuze om iets te doen
THUIS	Plek waar iemand woont
SPELEN	Recreatief
GEBRUIKEN	Zich bedienen van
TERWIJL	Gedurende de periode
ZORGEN	Veroorzaken
ONDERZOEK	Iets bekijken
WAARIN	Vragend
EIGENLIJK	Echt
INFORMATIE	Kennis
APRIL	Vierde maand van het jaar
VIDEO	Techniek van het opnemen
VANUIT	Plaats aangevend
PROBLEEM	Onopgelost vraagstuk
SOORT	Groep voorwerpen
VADER	Mannelijke ouder
BEGIN	Eerste deel
ZODAT	En daardoor
GEBIED	Alle dingen die behoren
ARTIKEL	Voorwerp dat te koop is
LEREN	Van leer vervaardigd
REGIO	Geografisch
MOEDER	Vrouwelijke ouder
ONGEVEER	Bij benadering
OKTOBER	Tiende maand van het jaar
VERHAAL	Verslag
MEEST	Van hoedanigheid
EERDER	Van vroegere datum
BRENGEN	Ergens heen gaan
HOREN	Geluid waarnemen
OPNIEUW	Nog een keer
NOVEMBER	Elfde maand van het jaar
ANDER	Niet deze
NAAST	Meest vertrouwd
MEISJE	Jonge
MUZIEK	Toonkunst
WAARBIJ	Vragend
ZETTEN	Bereiden
SLECHTS	Alleen maar
HOOFD	Bovenste deel
ZOWEL	Evenzeer
DAARNA	Aanwijzend
WACHTEN	Op dezelfde plaats
DUIDELIJK	Niet mis te verstaan
VROEG	Eerder dan verwacht
LEKKER	Aangenaam van smaak
WEINIG	In een klein aantal
GEMEENTE	Gezamenlijke gelovigen
GELIJK	Juistheid
LOPEN	Stappen
MOGEN	Ergens toestemming
PRECIES	Heel nauwkeurig
GEVAL	Één bepaalde mogelijkheid
ZOEKEN	Proberen te vinden
ZOVEEL	Bepaalde hoeveelheid
SOMMIGE	Onbepaald
BEGINNEN	Initiëren
AFGELOPEN	Beëindigd
HALEN	Ergens heengaan
LEZEN	Selecteren
PARTIJ	Vereniging
WEKEN	Door langdurig
ZAKEN	Commerciële activiteiten
NUMMER	Aanduiding
MOEILIJK	Niet gemakkelijk
BEZIG	Aan het werken
LANGS	Terzijde van
MORGEN	Eerste deel van de dag
JANUARI	Eerste maand van het jaar
KLEIN	Van geringe grootte
NADAT	Uitschelden
DELEN	Samen
NOORD	In de richting
RECHT	Geheel
PRATEN	Zich met behulp
BEDANKT	Uitspraak om waardering
BIJVOORBEELD	Als voorbeeld
EINDE	Punt in ruimte
KAMER	Van de rest
STOND	Tijdstip
PROGRAMMA	Aantal activiteiten
LIGGEN	Zich horizontaal
VOLGEN	Achterna gaan
JUIST	Zoals het moet
REDEN	Klaar maken
LANDEN	Vanuit de zee
WAARDOOR	Vragend
GEPLAATST	Gunstige positie
MEDIA	Gemiddelde
GEWORDEN	Ten deel vallen
BEIDE	Elk van twee
MIDDEN	Centrale deel
SLECHT	Van lage kwaliteit
PROBEREN	Testen
GESCHIEDENIS	Geheel
WAARSCHIJNLIJK	Aannemelijk
LEDEN	Januari
BEDRIJF	Organisatie
GEGEVEN	Bekend geval of feit
LICHAAM	Geheel van botten
STELLEN	Doen staan
FEBRUARI	Tweede maand van het jaar
ONDERWIJS	Overbrengen van kennis
WEDSTRIJD	Strijd van twee
WOORD	Spraakklank
METEEN	Onmiddellijk
DOCHTER	Vrouwelijk kind
PERSOON	Menselijk individu
UITEINDELIJK	Na een hele tijd
BUURT	Wijk
KOPEN	In ruil
LIEFDE	Uiting of gevoel
CONTACT	Toestand
LEEFTIJD	Bepaald tijdstip
AUGUSTUS	Achtste maand
MINISTER	Gezant
TOEKOMST	Tijd die komen gaat
AVOND	Periode van de dag
IEDER	Elk
BETALEN	Geld geven
VERGETEN	Niet gedaan hebben
PROVINCIE	Staatkundig onderdeel
ORGANISATIE	Manier
ACTIE	Handeling
DIRECT	Zonder te wachten
CENTRUM	Middelpunt
INTERNET	Wereldwijd netwerk
PRESIDENT	Staatshoofd
BASIS	Grondslag
DERDE	Door drie gedeeld iets
ENKEL	Gewricht dat de voet
GELOOF	Overtuiging
OVERAL	Op alle plaatsen
GENOEMD	Vermelde
PROJECT	Zaak die men denkt
WAARVAN	Vragend van wat
POLITIEK	Beleid
EXTRA	Hetgeen men erbij krijgt
GROND	Bepaald stuk
ERVOOR	Vanwege de reden
LEIDEN	Tot
VALLEN	Vrijelijk
BESTAAN	Mogelijkheid
HOEVEEL	Welk aantal
LINKS	Betrekking hebbend
METER	Doopmoeder
SUCCES	Slagen van een opzet
WELKOM	Gewenst zijn te blijven
DAARMEE	Met dat
ALGEMEEN	Iedereen betreffend
ANTWOORD	Reactie op een vraag
GEWELDIG	Bijzonder groot
OMGEVING	Nabijheid
KLEUR	Onderscheid
BOEKEN	Reserveren
WAAROP	Vragend op wat
WAARMEE	Vragend met wat
GEHOUDEN	Verplicht zijn
TELEFOON	Toestel
BEELD	Beschrijving
LEGER	Militaire strijdmacht
RIJDEN	Zich verplaatsen
BEZOEK	Personen
DIENST	Bepaalde vorm
VERLOREN	Verdwenen
INDERDAAD	Bevestiging
STERK	Beschikkend over kracht
HELAAS	Jammer genoeg
TOTAAL	Geheel
GEBOREN	Ter wereld gebracht
WAARONDER	Onder wat
ONTWIKKELING	Geleidelijke verandering
LICHT	Bleek
VOORBIJ	Bepaald punt passeren
VORMEN	Deel uitmaken van
BEDRIJVEN	Aan iets doen
INMIDDELS	In de tussentijd
VOORKOMEN	Soms gebeuren
VERANDEREN	Zodanig aan iets werken
PRIMA	Eerste wissel
EILAND	Stuk land
JONGEN	Onvolwassen man
MEESTAL	In het merendeel
STOPPEN	Herstellen
AANWEZIG	Tegenwoordig zijn
VERWACHT	In de toekomst
TROTS	Erg blij
ACTIEF	Met iets bezig zijnde
KONING	Mannelijk hoofd
STRAAT	Weg tussen de huizen
NORMAAL	Gangbaar
MEERDERE	In ruim aantal
PRACHTIG	Bijzonder mooi
REGERING	Groep van personen
ZATERDAG	Dag van de week
BROER	Mannelijk kind
TITEL	Opschrift van een boek
ERGENS	Als locatief deel
KENNEN	Bekend
NOEMEN	Met een naam aanduiden
PERIODE	Bepaald tijdsbestek
SCHREEF	Maatstreep
EINDELIJK	Na een lange tijd
