word	current_clue
ALFABET	Gezamenlijke lettertekens
BROEDER	Medemens of naaste
EENZAAM	Gebrek
HIERTOE	Aanwijzend dichtbij
KRUIDEN	Specerij
NEGENDE	Gedeeld
REGENEN	Vallen van neerslag
STAKING	Neerleggen
STAMMEN	Afkomstig zijn
WAARDIG	Op een wijze
WAARTOE	Vragend
BIOLOGIE	Wetenschap
CHRISTEN	Belijder
FRAGMENT	Gedeelte
IRRITANT	In hoge mate vervelend
OPEREREN	Acties uitvoeren
VITAMINE	Stof die het lichaam
AANSPRAAK	Recht om het bezit
BURGERLIJK	Horend
CONTAINER	Metalen kist
GRONDSLAG	Metselwerk
HIERNAAST	Naast dit
HOOFDDOEK	Vierkante lap stof
MEEWERKEN	Deelnemen
VERTROUWD	Op de hoogte van
WEBWINKEL	Winkel
AANVOERDER	Bevelhebber
BUITENKANT	Uitwendige van iets
PLAATSELIJK	Betrekking hebbend
STRAFRECHT	Geheel van rechtsregels
ACHTERLATEN	Dumpen
CERTIFICAAT	Schriftelijk bewijs
FINANCIEREN	Voorzien
BREUK	Uitkomst
KINKY	Opwindend
OEVER	Rand van kanaal
POKER	Spel waarbij
SPOED	Afstand
ABSURD	Erg onlogisch
BINDEN	Vastmaken
CAESAR	Romeinse keizer
CITAAT	Letterlijke passage
CREDIT	Dat wat men als koopman
DUMPEN	Storten
KORTOM	Samenvattend
OMLOOP	In de rondte gaan
SPRINT	Wedstrijd
VROUWE	Deftige dame
WEDDEN	Geld inzetten
ZOZEER	In zo'n hoge mate
CARAVAN	Kampeerwagen
DROOGTE	Lange periode
ILLUSIE	Droombeeld
KOSTUUM	Kleding
LICHTER	Voorwerp
MIJLPAAL	Belangrijke gebeurtenis
TAMELIJK	Nogal
AFTREDEN	Bepaalde positie
MANIFEST	Duidelijk
SERGEANT	Politiële rang
VOORDOEN	Bij wijze
INSPECTIE	Organisatie die grondige
VERVOLGEN	Handeling voortzetten
AANSPREKEN	Toespreken
ANALYSEREN	Behandelen
HARTAANVAL	Afsterven
INTEGREREN	Door een leerproces
KENMERKEND	Hoedanigheid vormend
OPZETTELIJK	Bewust op deze manier
DISTRIBUTIE	Verdeling
FUNCTIONEEL	Geschikt
CLEAN	Modern
GENOT	Gebruik
HEIDE	Uitgestrekte
ICOON	Pictogram
OFFER	Gave aan een godheid
SLUIS	Kunstwerk
SPEED	Snelheid
VIJVER	Tamelijk klein
DIEVEN	Stelen
KAPPEN	Hoofdhaar knippen
KIKKER	Gewerveld dier
LOPEND	Te voet gaand
LULLEN	Onzin uitkramen
RATTEN	Te pakken krijgen
RUITER	Berijder van een rijdier
TARIEF	Vastgesteld bedrag
WARREN	In de war brengen
ZUIGEN	Doorgaand treiteren
AFWEZIG	Geestelijk afgeleid
MATERIE	Bouwsteen
MONTEUR	Deskundige die machines
OMGEVEN	Voorzien
SCHEREN	Met een schaar
SPINNEN	Lange draad vervaardigen
STRALEN	Licht weerkaatsen
ZWAAIEN	Begroeten
BEHEERST	Zonder uitspatten
BEKENNEN	Iets laak-
BEWERKEN	Veranderen
BEZWAREN	Belasten
BLOEDBAD	Gebeurtenis waarbij
BRILJANT	Buitengewoon slim
INFLATIE	Stijgen
WEGHALEN	Van zijn plaats halen
ADVISEREN	Raad geven aan
ATTRACTIE	Aantrekking
BASKETBAL	Sport gespeeld
BEDREIGEN	Iemand bang maken
BENOEMING	Toewijzen van een ambt
ONTVANGER	Ambtenaar
APPLICATIE	Toepassing
DRINKWATER	Water
HERVORMING	Proces
OVERLEGGEN	Gezamenlijk bespreken
WERKPLAATS	Plaats
INDUSTRIEEL	Met veel fabrieken
MORGENAVOND	In de avonduren
TOELICHTING	Nadere tekst
BUITENWERELD	Grote publiek
MIDDENVELDER	Iemand die speelt
PORTEFEUILLE	Platte houder
BIJTEN	Iets afsnijden
ESSAY	Opstel
HECHT	Innig verbonden
SCHOK	Gebeurtenis
SCHOP	Trap met de voet
BATTLE	Optreden
BUIGEN	Krommend vervormen
GALERIJ	Overdekte gang
KAPSEL	Manier
KERMIS	Feest met attracties
PROOST	Heildronk
VERVEN	Met verf bestrijken
WONDEN	Emotioneel kwetsen
ZEUREN	Veelvuldig
BEWAKEN	Toezicht houden
DIAMANT	Uiterst hard
DONEREN	Gift geven
KERKHOF	Terrein
MAGAZIJN	Opslagplaats
ONGEMAK	Onaangename verstoring
PARODIE	Spottende nabootsing
PLUKKEN	Afbreken of oogsten
SHOPPEN	Winkelen
BEDRAGEN	Som gelds
DAGLICHT	Licht van de zon
EENZIJDIG	Met of aan één kant
INLOGGEN	Verbinding bewerken
REGISTER	Serie orgelpijpen
RICHTLIJN	Aanwijzing
AFDRUKKEN	In- of uitschakelen
