word	current_clue
GERAAKT	In het gevoel
PARTNER	Deelgenoot in spelen
VERLIES	Teloorgaan
WAARVOOR	Vragend
BERICHTEN	Van nieuws voorzien
PRODUCTIE	Film
VERJAARDAG	Dag waarop iemand viert
BEHANDELING	Handeling gericht
GEEST	Dat wat zich afspeelt
DEGENE	Wijst een antecedent
SPRAKE	Taal
KRITIEK	Uitingen
RAPPORT	Schriftelijk bericht
VLIEGEN	Heel snel
PARLEMENT	Lichaam
VOLDOENDE	Toereikend
AFHANKELIJK	Genoodzaakt
VERBETEREN	Beter maken
VERKLARING	Opheldering
VERWACHTEN	Ergens van uitgaan
BLAUW	Primaire kleur
INZET	Wat men aan het risico
MOTOR	Krachtbron
RAKEN	Klap
STORM	Erg harde wind
TONEN	Bepaalde indruk geven
DROMEN	Ervaren
EDITIE	Uitgave
MELDEN	Iets rapporteren
ZOIETS	Dergelijke zaak
DINSDAG	Dag van de week
GENAAMD	Bepaalde naam hebbend
LANGZAAM	Met weinig snelheid
TRAINING	Oefening
NATIONAAL	Op een volk
PERSONEEL	Betrekking hebbend
BLOED	Sukkel
DROOM	Beelden
BERGEN	Ergens plaatsen
BEWUST	Van op de hoogte
STUDIE	Tijd besteed
BEPERKT	Verminderd
LUISTER	Straling
TROEPEN	Bij elkaar komen
CAMPAGNE	Veldtocht
BOODSCHAP	Overgebracht bericht
COLLECTIE	Verzameling
KWALITEIT	Hoedanigheid
NAUWELIJKS	Net
STANDAARD	Steun
TELEVISIE	Elektronisch apparaat
MINISTERIE	Afdeling van een overheid
ONTWIKKELD	Volgroeid zijn
TENZIJ	Behalve wanneer
GEZOND	Vrij van ziektes
MENEER	Formele manier
MISSEN	Niet raken
OMHOOG	In opwaartse richting
ERVAREN	Bekwaam door ondervinding
VERKEER	Geheel
WELLICHT	Misschien
WERKELIJK	Niet verbeeld
RECHTBANK	Instelling
INITIATIEF	Ter hand nemen
COMMUNICATIE	Uitwisselen
KAPOT	Gebroken
OUDER	Moeder of vader
SCHAT	Verzamelde rijkdom
ZAGEN	In stukken delen
ALWEER	Opnieuw
KLASSE	Alle elementen
LAATST	Onlangs
WENSEN	Verlangen
VECHTEN	Strijd leveren
SELECTIE	Keuze
CATEGORIE	Onderdeel
INTERESSE	Belang
UITSPRAAK	Manier
COMBINATIE	Verband
GELEGENHEID	Mogelijkheid tot
ORGANISEREN	Iets
BEREID	Akkoord gaand
DANSEN	Sierlijk
DIENEN	Behoren
GEWOND	Letsel hebbend
HANGEN	Zich in een positie los
PASSEN	Schikken
SCHOON	Mooi
SIMPEL	Zonder veel complicaties
TWIJFEL	Innerlijke staat
VIERDE	Gedeeld
AKKOORD	Overeenkomst
GEZOCHT	In trek
VERZOEK	Vraag om iets te doen
GETROUWD	Echtpaar vormend
KAMPIOEN	Winnaar
KONINGIN	Vrouwelijk hoofd
POSITIEF	Stellende trap
BEDOELING	Doel van een actie
MATERIAAL	Tastbare stof
TENMINSTE	In de zin
GEMAKKELIJK	Geen moeite
