word	current_clue
REGIME	Bestuur van een land
VOOROP	In een rij of groep
WEBSHOP	Webwinkel
ZEVENDE	Gedeeld
ALHOEWEL	Leidt een toegeving
OPBOUWEN	Maken
AANGELEGD	Aanleg hebben tot
INGEVOERD	Deskundig
KARDINAAL	Hoge geestelijke
BESCHIKKEN	Beslissen
OPMERKELIJK	Bijzonder genoeg
SCHILDEREN	Kunstwerk vervaardigen
VASTHOUDEN	Beletten dat iets losgaat
VERGUNNING	Officiële toestemming
ADVERTENTIE	Aankondiging in een krant
BETROUWBAAR	Te vertrouwen
NABIJGELEGEN	Niet ver weg
DUIDELIJKHEID	Evident
BOTEN	Kloppen
DRINK	Gebruik
TYPEN	Door middel
BRIDGE	Spel gespeeld
KOFFER	Draagbare bergruimte
RELLEN	Snel en druk praten
SENAAT	Bestuur
ZINNEN	Gedachten ergens
DAARUIT	Uit dat
DEKKING	Op elkaar passen
GEPRAAT	Aanhoudend praten
RELEASE	Uitkomen
JONATHAN	Appelras
OVERNAME	Kopen van iets
STRALING	Energie in de vorm
VERDOMME	Vloek van ergernis
WIJZIGING	Verandering in een regel
BEMANNING	Personen
BEVRIJDING	Vrij maken van mensen
COMMUNITY	Groep mensen
EVENTUEEL	Mogelijk
FILOSOFIE	Manier
UITGERUST	Niet meer moe
VRIJWILLIG	Niet gedwongen
LEERKRACHT	Iemand die lesgeeft
APPEL	Tijdstip
BOCHT	Van richting veranderende
DEKEN	Doek
MOLEN	Allerlei voorwerpen
SMART	Gevoel van lijden
STAAL	Legering van ijzer
CAMPUS	Veld
CASINO	Gelegenheid
DALING	Dalen
KELDER	Ondergrondse bergruimte
ONRUST	Niet kalm
SCHUUR	Opslagplaats bij het huis
TASSEN	Ophopen
ACTRICE	Vrouw
BEROEMD	Onder velen bekend
CAMPING	Terrein
DIVISIE	Afdeling van een vloot
KLAPPEN	Als vertoon van bijval
KLINIEK	Inrichting
STERKTE	Grootte of het aantal
ACADEMIE	Geleerd genootschap
ARGUMENT	Aangevoerd feit
SCHILDER	Kunstenaar
VOORWERP	Object
VROUWTJE	Bazin van een huisdier
AANKLACHT	Gesproken
HERHALING	Nogmaals plaatsvinden
OLYMPISCH	Verband houdend
OVERWEGEN	Voor-
UITGEVERIJ	Bedrijf dat zich toelegt
UITZOEKEN	Selectie maken
AANSTAANDE	Verloofde
ECHTGENOTE	Vrouw
BEOORDELING	Uitspraak
DEPARTEMENT	Ministerie
BUITENGEWOON	In hoge mate
HOOFDKANTOOR	Voornaamste kantoor
WERKLOOSHEID	Geen baan hebben
METEN	Maat hebben
TRAAG	Met geringe snelheid
VIEZE	Vijzen
ZETEL	Constructie bestemd
HEILIG	Door wijding
INZIEN	Documenten lezen
METAAL	Ieder element
NAJAAR	Herfst
PILOOT	Bestuurder
POSTER	Papieren vel
RONDJE	Traktatie
STRENG	Van de dunne touwen
TICKET	Bekeuring
VISSER	Dier dat zich voedt
ALSMEDE	En ook
FLESSEN	Bedriegen
HIERUIT	Uit dit
OMTRENT	Rond
VREUGDE	Blij gevoel
ACHTEREN	Van voren
BETALING	Overhandigen
BEVRIEND	Door vriendschap
EVENTJES	In weinig tijd
FANTASIE	Vermogen
HERKOMST	Afkomst
LOSLATEN	Niet langer vasthouden
KUNSTWERK	Bijzondere constructie
LOGISTIEK	Organiseren
MEDELIJDEN	Verdriet
NIEUWBOUW	Bouw van huizen
HERKENBAAR	Zichtbaar
SCHOOLJAAR	Cursus
CONSTRUCTIE	In elkaar zetten
VERKRACHTING	Gewelddaad die leidt
BRONS	Legering van koper en tin
KETEN	Uit losse
KIJKER	Oog
POTEN	Ondiep
SLANG	Buigzame buis
STORE	Zonnegordijn
BOSTON	Bepaald type wals
MASKER	Voorwerp geplaatst
OPVANG	Verzorgen van kinderen
VOLUME	Sterkte van geluiden
ACTUEEL	Dat wat nu
BUURMAN	Man naast
TEVOREN	In de tijd ervoor
TREFFEN	Raak schieten
FENOMEEN	Verschijnsel
REGELING	In orde brengen
SCENARIO	Samenvattend overzicht
BETREKKEN	Kopen
VERLENGEN	Langer maken
VERVULLEN	Uitkomen
COMBINEREN	Door elkaar doen
ESSENTIEEL	Zeer belangrijk
PUBLICEREN	Bekend maken
VERMELDING	Weerbericht
INDIVIDUEEL	Afzonderlijk
LIDMAATSCHAP	Status
BRAVO	Uitroep van bewondering
BRUID	Vrouw
CIJFER	Teken
ENGEL	Geestelijk hemels wezen
LEVEL	Niveau
OPERA	In hoofdzaak gezongen
SLAAF	Apparaat of element
AVENUE	Brede laan
BAGAGE	Verzameling
CARTER	Bak om het blok
EEUWIG	Voortdurend
FINISH	Passeren
JEETJE	Uitdrukking
SCHOEN	Bekleedsel
STALEN	Van staal vervaardigd
ELEMENT	Naam voor een stof
ELKAARS	Genitief
TOETSEN	Bepalen
BEVALLEN	Leven schenken
GEWOONTE	Vaste wijze
HERHALEN	Nog eens
OGENBLIK	Moment
OPGELEGD	Uitgesproken
OPROEPEN	Doen verschijnen
SCHOUDER	Gewricht dat een arm
VERDELEN	Geheel
EXPEDITIE	Verzending van goederen
HANDHAVEN	Iets doen voortbestaan
INSTELLEN	In het leven roepen
PERMANENT	Voortdurend
RENOVATIE	Laatste aanmaning
AFSLUITING	Beëindiging
ARRESTATIE	Aanhouding
PRIORITEIT	Voorrang
VERBRANDEN	Doen verteren
GEBRUIKELIJK	Naar gewoonte
INGEWIKKELD	Niet eenvoudig
VERSTERKING	Extra hulp
BLOND	Helder
GETAL	Abstracte weergave
GRAAD	Eenheid
KOGEL	Stalen bol
MEREN	Aan de wal vastleggen
PORTO	Bedrag
TABEL	Geordende lijst
BLEKEN	Witter
HOCKEY	Balspel
OPBOUW	Hoe iets is samengesteld
POSTEN	Op wacht staan
SPRING	Bron
TERRAS	Plat dak
UITEEN	Uit elkaar
VREZEN	Bang zijn
ACHTSTE	Gedeeld
CIRCUIT	Omloop
CLASSIC	Origineel
DAARTOE	Aanwijzend veraf
DIALOOG	Gesprek tussen twee
GENEZEN	Gezond worden
MUSICAL	Toneelstuk of film
SCHAKEL	Element van een keten
STAANDE	Tijdens
STELSEL	Geordend geheel
STROMEN	Voortbewegen
CHINEZEN	Nuttigen
DREIGING	Vervelende gebeurtenis
FAILLIET	In staat
HUISARTS	Arts die de eerste lijn
JUBILEUM	Feestelijke herdenking
UITKOMST	Afloop
UITSTOOT	Afvalstoffen
VERKOPER	Iemand die goederen
VERSTAAN	Begrijpen
VERTALEN	Omzetten van geschreven
AANGEDAAN	Staat waarin je verkeert
OPVOEDING	Proces
TOESPRAAK	Voordracht
VERHOGING	Plaats
WOONKAMER	Kamer ingericht
GROOTVADER	Vader van een ouder
VERTRAGING	Langzamer gaan
VERZEKEREN	Verklaren
INSTALLATIE	Resultaat
NACHTMERRIE	Schrikbeeld
REGISTREREN	Vastleggen
VRIJDAGAVOND	Latere uren
BRITS	Provisorisch bed
CLARK	Voertuig
DUWEN	Door druk
FIRMA	Zaak of bedrijf
IMAGO	Resultaat
NOTEN	Testikels van een man
ZEGEN	Verlening
BESMET	Ziektekiemen
BUNDEL	Verzameling teksten
KOPPEN	Kop verwijderen
SPEECH	Redevoering
TONEEL	Schouwspel
DOMINEE	Voorganger
GEMENGD	Toestand
KEIHARD	Bijzonder hard
SCHEDEL	Skelet
VEREIST	Benodigd
VERWARD	In de war geraakt
WIJZIGEN	Zodanig aan iets werken
BEREIDEN	Klaarmaken
DERGELIJK	Van deze soort
INDIENEN	Document
INVULLEN	Enz
KERSTMIS	Mis ter viering
KLASSIEK	Bij uitstek kenmerkend
SCHUDDEN	Snel heen en weer bewegen
STRANDEN	Aan de grond vastlopen
UITGEVEN	Geschrift
VOORNAAM	Van hoog aanzien
AFWACHTEN	Wachten
FACULTEIT	Macht
FEDERATIE	Verbond
VADERLAND	Land of staat
VERDRAGEN	Bestand zijn tegen
INRICHTING	Instituut
VEELVULDIG	Vaak
PLAYSTATION	Spelcomputer gemaakt
SINTERKLAAS	Iemand die de rol
FINANCIERING	Leveren van kapitaal
BONUS	Extraatje
DIEET	Aanpassing in het eet-
DRAAD	Oude bijnaam
GEWIJD	Gezegend
KABEL	Is een samenstel
ZWEER	Ontstoken plek
ASPECT	Kant of zijde
BEWIND	Groep personen
CIRCUS	Drukke lawaaierige
VONNIS	Beslissing
BIJSTAND	In algemene zin
BLOKKEN	Heel hard studeren
DOELMAN	Speler
GEDRUKT	Angstig
GEKLEED	Netjes
PLOEGEN	Zwoegend
RESERVE	Voorbehoud
STADIUM	Lengtemaat
BIOSCOOP	Gebouw
EVOLUTIE	Ontwikkeling
GARANTIE	Verklaring
KENTEKEN	Teken
KLOOSTER	Gebouw
NAARMATE	In een mate
VESTIGEN	Stichten
VUURWERK	Hoop onrust en gedoe
CHAMPAGNE	Mousserende drank
GESPANNEN	Strak uitgerekt
LANCERING	Afschieten
ZOGENAAMD	Naar bewering
AANMERKING	Afkeurende opmerking
AANSLUITEN	Op elkaar volgen
BESCHOUWEN	Bekijken als
VERZEKERING	Overeenkomst
