word	current_clue
REGEL	Zin in een tekst
STOEL	Wortelstel
WIJZEN	Met de vinger
GELEID	Door één
LOSSEN	Afschieten
BEZORGD	Met zorgen beladen
EVENALS	Net zo als
ONLANGS	Recentelijk
ONTSLAG	Verbreken
REGELEN	Zorgen
ZWANGER	Toestand
JUSTITIE	Macht
VLUCHTEN	Trachten te ontkomen
GEMIDDELD	Bepaald door de som
AANPAK	Manier
DATING	Daten
GEHEIM	Voor het verstand
NETJES	Tot netheid geneigd
SCHAAL	Voorwerp
TALENT	Bijzondere aanleg
TOILET	Plaats
MELDING	Bericht
AFSCHEID	Begroeting
BENIEUWD	Reikhalzend uitziend
CHRISTUS	In hoge mate
INSTANTIE	Object
HUMOR	Iets wat grappig is
OPTIE	Van de keuzes
BOEREN	Vak uitoefenen
DONKER	Toestand
KANTEN	Vlak
OMGAAN	Om iets heen gaan
KLIMAAT	Aanwezige toestand
THEATER	Overdreven
PENSIOEN	Loon uitgesteld
ZICHTBAAR	Waarneembaar voor het oog
BEHANDELEN	Verwerken
VRIENDELIJK	Op een manier
BEVEILIGING	Genomen maatregelen
UITZONDERING	Geval
KANKER	Aandoening
UITLEG	Verhaal bedoeld
ZAKKEN	Naar beneden gaan
AANSLAG	Vordering
LOGISCH	Voor de hand liggend
STUDENT	Iemand die middelbaar
TEGELIJK	Op hetzelfde moment
ZWEMBAD	Bassin
BEVATTEN	Omvatten
BIJDRAGEN	Geven van geld
EIGENDOM	Recht op de heerschappij
AANGEPAST	Geschikt gemaakt
COMMENTAAR	Toelichting
TOEGESTAAN	Wat mag
VASTGESTELD	Bepaald
DROOG	Zonder gevoel
WEZEN	Aard van iets
ALSNOG	Toch nog
DOKTER	Arts
LERAAR	Iemand die lesgeeft
OPEENS	Snel en onverwachts
PAPIER	Officieel bewijsstuk
STILTE	Ontbreken van geluid
BEHOREN	Onderdeel zijn van
GEVECHT	Handgemeen
MONUMENT	Groot gedenkteken
TOERNOOI	Steekspel
TRADITIE	Bepaalde gewoonte
VANMORGEN	Afgelopen ochtend
VOORLOPIG	Tijdelijk in afwachting
LITERATUUR	Verzameling
HEDEN	Op deze dag
PARTY	Feest
PLEIN	Open
SMAAK	Zintuig
VOGEL	Met twee vleugels
ZICHT	Afstand
CENTER	Pin om het middelpunt
DERTIG	Om een hoeveelheid
DUBBEL	Tweemaal voorhanden
HELDER	Klaar
KLACHT	Uiting van pijn
TANDEN	Scherpen
UPDATE	Vernieuwde
ANALYSE	Ontleding
CONGRES	Grote vergadering
CONTENT	Tevreden
TELKENS	Elke keer
VOLGEND	Later komend
BEVINDEN	Na waarneming
GEDACHTE	Hetgeen wat men denkt
MAGAZINE	Gedrukte publicatie
SCHIETEN	Projectiel afvuren
STUDEREN	Volgen
ONTDEKKEN	Iets vinden of leren
REVOLUTIE	Omwenteling
HERSTELLEN	Weer invoeren
HENRY	SI-eenheid
HOUSE	Huis
LENTE	Eerste jaargetijde
LUNCH	Middagmaal
VOREN	Met rode vinnen
SCHERP	Goed snijdend
BESLIST	Niet onderhevig
OPSTAND	Massale
RECLAME	Verstrekking
SCHEPEN	Per schip vervoeren
STEUNEN	Deel van de last
WEDEROM	Opnieuw
BOERDERIJ	Woning
UITERLIJK	Betrekking hebbend
VERMOGEN	Kapitaal aan geld - bezit
VOORKEUR	Neiging tot kiezen
VANOCHTEND	Afgelopen ochtend
STEEK	Korte scherpe pijn
VILLA	Groot
VOCHT	Water
BEDRAG	Som geld
ERKEND	Algemeen
HIERNA	Aanwijzend
HUILEN	Traanvocht uitscheiden
LESSEN	Les nemen
MOBIEL	Kunstwerk
GEWICHT	Kracht die een voorwerp
OEFENEN	Proberen
REKENEN	Getallen manipuleren
INZETTEN	Iets van waarde
SOFTWARE	Verzamelnaam
TOEZICHT	In de gaten houden
OVERLIJDEN	Ophouden met leven
VLIEGVELD	Terrein
ACCEPTEREN	Aanvaarden
COMPETITIE	Reeks wedstrijden
UITVOERING	Ten gehore brengen
SAMENVATTING	Beknopte beschrijving
BEVEL	Verplicht
HAPPY	Blij
HOEZO	Vraagt
ROKEN	Rook afgeven
WAGEN	Kar
INGANG	Trefwoord
MARINE	Strijdmacht
PALEIS	Aanzienlijk gebouw
VANGEN	Te pakken krijgen
GETUIGE	Kondigt de grondslag
OPHALEN	Naar boven halen
REDELIJK	Tamelijk
SOLDAAT	Militair
DUURZAAM	Lang meegaand
SPANNING	Toestand
WERKZAAM	Actief
FINANCIEEL	Met betrekking
ONDERNEMEN	Samengesteld plan
ONDERNEMER	Iemand die een bedrijf
TOEPASSING	Manier
TOEGANKELIJK	Te bereiken
ONDERSTEUNEN	Helpen
WERELDOORLOG	Gewapende strijd
AFVAL	Onbruikbare resten
HEMEL	Lucht
POORT	Uit- or toegang
WIENS	Van wie
ALVAST	Nu al
KLAGEN	Ongenoegen uiten
STRESS	Zware spanning
ERFGOED	Bezit
INKOMEN	Zich verplaatsen
WAARAAN	Aan wat
LANDBOUW	Cultiveren
MAXIMAAL	Grootst mogelijk
PRINCIPE	Grondoorzaak
OVERTUIGD	Met te veel zeil
VERBORGEN	Onzichtbaar gemaakt
ONTMOETING	In contact komen
VERDIEPING	Dieper maken
ONGELOOFLIJK	Onmogelijk om geloof
KOERS	Richting die een vaartuig
BREKEN	In stukken uiteenvallen
CADEAU	Geschenk
DOMEIN	Gebied
GERUST	Zonder angst of zorg
HIEROP	Op dit
MERKEN	Iets waarnemen
PASSIE	Zaak waar het hart
SNEEUW	Ruis weergegeven
TEKORT	Ontbrekende hoeveelheid
EXTREEM	Uiterste
HOUDING	Pose
RELIGIE	Godsdienst
SYMBOOL	Genormeerd teken
VANDAAR	Vanuit die plek
BEDENKEN	Iets schenken aan
GEBOORTE	Bevalling
GESLAAGD	Gelukt
KAPITEIN	Gezagvoerder
SPRINGEN	Traanvocht veroorzaken
VANNACHT	Komende nacht
DEFINITIEF	Voorgoed geldig
GOUVERNEUR	Hoofd van een regering
IDENTITEIT	Kenmerk
RELIGIEUZE	Non
BODEM	Onderkant
GREEN	Dennenboom
PLAAT	Vlak
SLOOT	Smalle watergang
VIJFDE	Gedeeld
DOELEN	Schietbaan
TRANEN	Afscheiden
CHINEES	Eten uit restaurant
WERKING	Manier
DEFENSIE	Verdediging
GETEKEND	Door tekenen ontstaan
NEGATIEF	Ontkennend
CHAUFFEUR	Bestuurder
CONCLUSIE	Uitkomst
VERDEDIGEN	Beschermen
HERINNERING	Ervaring uit het verleden
PLANT	Van stengel
DOCENT	Iemand die les geeft
VROLIJK	In goede stemming
ZILVER	Kleur
ALCOHOL	Elk van de verbindingen
GEVORMD	Door vorming ontstaan
MISDAAD	Zwaarste categorie
PLAATJE	Afbeelding
BELANGEN	Betreffen
GOEDKOOP	Laag in prijs
TOESTAND	Geheel
VERSTAND	Kennis
WANDELEN	Zich veranderen
ONBEKENDE	Iemand die je niet kent
ONTSNAPPEN	Tijdens een wedstrijd
SCHOONHEID	Hoedanigheid prachtig
VERMOEDELIJK	Naar men denkt
BOODSCHAPPEN	Door middel
VOORSTELLING	Uitvoering
APART	Op zichzelf
BRUIN	Tertiaire kleur
HAAST	Drang hebben
METRO	Meter
RADEN	Gissing maken
ROMAN	Lang soort verhaal
VLOER	Bodem van een ruimte
BESLAG	Vloeibaar deeg
CURSUS	Reeks lessen
IMPACT	Invloed
ELLENDE	Armoedige
MOORDEN	Plegen
SLEUTEL	Instrument
ZOJUIST	Korte tijd geleden
BUSINESS	Zaak
INTUSSEN	Gedurende de tijd
MENSELIJK	Betrekking hebbend
STRUCTUUR	Interne opmaak
UITLEGGEN	Iets doen begrijpen
VERHUIZEN	Inboedel
ZOEKTOCHT	Reis die men onderneemt
INVESTEREN	Aanwenden
UITSTEKEND	Úítstekend
VOORZICHTIG	Op een oplettende
TEGENSTANDER	Vijand
DRAMA	Bepaald soort film
TAKEN	Aanraken
TANTE	Zus of schoonzus
ELFTAL	Sportploeg
OPNAME	Handeling of het proces
STREEK	Gebied
METHODE	Werkwijze
TYPISCH	Vreemd
VARIANT	Vorm die enigszins
MISBRUIK	Verkeerd gebruik
VERDRIET	Gevoel van droefheid
UITVOEREN	Exporteren
ZELFMOORD	Handeling
PUBLICATIE	Uitgeven
VERSCHIJNEN	Aan het licht treden
ALTERNATIEF	Andere mogelijkheid
VERDEDIGING	Actie ondernomen
