word	current_clue
SUB	Omgeving Antwerpen
ADEM	Lucht
MEET	Grensstreep
BOM	Primeur
FOX	Hond behorend
OOR	Lichaamsdeel
BOD	Handeling
BOL	Hoofd
KLUS	Afgerond stuk werk
ROOS	Aandoening
RUIL	Uitwisseling van goederen
VOER	Voedsel
NUT	Baat
TAG	Wurging
POND	Verouderde maat
SARA	Meeuw
TONG	Beweeglijk lichaamsdeel
WANG	Zijkant van het gezicht
BOT	Been
RUN	Plotselinge toeloop
GAVE	Bijzondere aanleg
CV	Centrale verwarming
DOL	Onzinnig
KUS	Stuk
LEF	Durf
VOS	Vulpes vulpes
FLAT	Gebouw
OUWE	Oude
PORT	Vrachtloon
RIJST	Zaden
TRAM	Railvoertuig dat meestal
ZOET	Ter omschrijving
HAVE	Bezit
LEED	Verdriet en pijn
SHOP	Winkel
SLET	Vrouw
TANK	Vrij groot afsluitbaar
TRIO	Muziekstuk
FIT	Opwelling
GSM	Mobiele telefoon
MOL	Zwart
VAT	Ronde ton
KNIE	Gewricht in het midden
MAAS	Door de mazen
NEEN	Nee
NEST	Vervelend
VALS	Onecht
HEK	Omheining
HER	Verkorte vorm
TAL	Numerieke hoeveelheid
WIJS	Melodie
BEEK	Kleine
NAUW	Zeeëngte
NAZI	Aanhanger
SOLO	Alleen optreden
VIES	Smerig
VOEG	Overgang
WAUW	Uitroep van verbazing
OS	Bot
KOU	Koe
DOEK	Lap stof
GRAM	Afgeleide eenheid
ACT	Handeling
BAN	Rechtsgebied
LIGA	Verbond
LORD	Heer
MEGA	Heel groot
ZOOM	Rand aan de buitenkant
VA	Vier
EIS	Dwingende vraag
PRE	Pluspunt
LONG	Orgaan
VERF	Algemene benaming
AAP	Meest
RAP	Snel
CHAT	Tapuit
RIJEN	In een rij plaatsen
STAL	Ruimte bestemd
TRUI	Kledingstuk
UK	Peuter
BON	Stukje papier
GIDS	Tijdschrift
LOOK	Stijl in mode
MAAG	Ventriculus
MUNT	Plant
PART	Deel
TAK	Deel van een boom
FAIR	Eerlijk
FRIS	Schoon
JAAP	Lelijke wond
SPOT	Handeling
PINK	Vijfde
STAM	Stengel
DUN	Van geringe dikte
HAM	Vlees
KOE	Vrouwelijk rund
ANNO	In het jaar
HEUS	Hoffelijk
LUST	Seksueel verlangen
UI	Eetbaar bolgewas
FEL	Hevig
KAP	Bedekking ergens boven
PET	Erg slecht
VEE	Door de mens
HANG	Neiging tot iets
KOOR	Groep mensen
LAMP	Voorwerp gemaakt
ZEGE	Overwinning
SA	Als aansporing
HOL	Zonder inhoud
LEK	Opening
HELM	Beschermend hoofddeksel
LUIK	Openklappend vlak
OVEN	Besloten ruimte
GOK	Zeker kansspel
HALS	Nauw gedeelte
HOED	Hoofddeksel
LUID	Veel lawaai producerend
NORM	Stelsel
OPZIJ	Aan de zijkant
SONG	Lied
STAF	Leiding
DUIM	Eerste
ECHO	Verkorting
MADE	Pootloze larve
MENU	Opsomming
PAAL	Stijve penis
ROOM	Vette delen van melk
WARS	Van
GIF	Bepaald bestandstype
MAM	Vrouwelijke ouder
SPA	Bronwater
MUIS	Klein knaagdier
BI	Burundi
PUT	Pijpvormige uitholling
GLAD	Egaal
KOOI	Uit tralies
REET	Kont
SPIN	Snelbinder met vier
TAPE	Plakband bijv
ZUUR	Vloeistof
BIO	Korte beschrijving
BUIS	Hol
GROF	Fors
ITEM	Onderwerp
KOOK	Toestand van koken
LEVE	Houden van
NOVA	Nieuw
TRIP	Houten plankje
YANG	Degene
YOGA	Streven
MAT	Vlechtwerk
TOF	Goed
WAL	Aarden verhoging
COLA	Lijm
DOEI	Begroeting
GENE	Die in de verte
GROT	Onderaardse holte
HAAN	Mannelijk dier
IRIS	Orgaan in het oog
MUST	Verplichting
POES	Vagina
TEEN	Twijg
VEST	Mouwloos jasje
EGO	Gevoel van eigenwaarde
CASH	Contant
CHIP	Afkappen
INKT	Gekleurde vloeistof
NOOT	Iedere grote
SAUS	Vloeibare substantie
ALFA	Esparto
CREW	Bemanning
LIST	Oplossing
SCAN	Resultaat
OV	Openbaar vervoer
ABC	Alfabet
MAP	Stevig omhulsel
PIJP	Buis
LEEN	Ontvangen goed
LENS	Stelsel van lenzen
STOK	Langwerpig voorwerp
TOUW	Middel om zaken
KI	Bevruchting van vrouwen
HIP	Modieus
MIJL	Verouderde lengtemaat
RAM	Mannelijk schaap
BOOG	Wapen
CASE	Geval
HAAK	Elk van de tekens
HALL	Hoge ruimte
HAVO	Afkorting
KOEN	Dapper
MI	Derde toon
PR	Bevorderen
CAO	Afspraken gemaakt
REN	Nier
HALT	Aansporing
ROER	Vlak waarmee de besturing
PO	Haai
BRAM	Druktemaker
