word	current_clue
REL	Verstoring
TIN	Blik
BOWL	Feestelijk mengsel
GOOT	Gleuf
RITS	Reeks
TOTO	Gokspel
YUAN	Chinese munteenheid
PUP	Jonge hond
LAUW	Weinig zeggend
MAVO	Afkorting
BOK	Mannelijke geit
DOP	Stevig omhulsel
BLOM	Meisje
BOOR	Chemisch element
HEAT	Serie
MOOR	Donkere Afrikaan
OORD	Bepaalde plaats
SLIK	Handeling
TAST	Zintuig van de aanraking
WORP	Handeling
PIP	Ziekte bij pluimvee
RAIL	Metalen staaf
ROOF	Openlijk
RUPS	Larve van de vlinder
TACO	Kleine
VANG	Poten en klauwen
VEEG	Klap
BIE	Bijzonder
LAF	Gebrek aan moed tonend
TAM	Gewend aan omgang
TAP	Uitsteeksel
DRUM	Vat vooral
LAVA	Vloeibaar gesteente
MALL	Brede
RUND	Holhoornig
WOUT	Politieagent
WROK	Blijvend gevoel
MAF	Gek
MUG	Kop
RIB	Elk van de platte
ALMA	Appel
AZIJN	Verkregen
BROK	Restant
FIER	Trots
HALO	Stralenkrans
LAMA	Waarom
PLUK	Uitgetrokken bundeltje
WAAN	Overtuiging
ZWIJN	Varken
DIS	Gedekte tafel
DOK	Onderdeel
JEN	Yen
JUS	Jullie
SUF	Moeite ervarend
DIVA	Gevierde zangeres
KNUL	Jongen
PIEP	Geluid
DIP	Slechte periode
RVS	Roestvast staal
CHIC	Modieus verfijnd
DITO	Bevestiging
EXIT	Verlaat het toneel
HEES	Niet helder
KERS	Vrucht
SLIJM	Kleverige stof
COL	Hoge kraag van een trui
BEUK	Europese hardhoutboom
FAKE	Bedrog
HULK	Onttakeld schip
NERO	Wreedaard
AAR	Bloeiwijze van granen
HEF	Bezinksel
HUI	Vloeistof
MUS	Zangvogel behorend
OER	Uur
AULA	Grote ruimte of zaal
CARA	Verzamelnaam voor astma
JEEP	Terreinwagen
KALK	Calcium
LAAR	Open plek in een bos
NEON	Chemisch element
PAPS	Vader
REEP	In het bijzonder
TORI	Verslag van een beleefde
GAL	Eenheid van versnelling
UFO	Vliegend voorwerp
ARIA	Solo voor een zanger
GROS	Merendeel
MAMS	Moeder
MAYO	Mei
RAAP	Gewas
TRUT	Vagina
ION	Atoom of een molecuul
KIL	Kreek
MAK	Gedwee
BIOS	Verkorting
BROS	Hard
LEDE	Waterloop
RUIG	Geneigd tot onbesuisd
BIL	Auto
HEI	Uitroep
KNOL	Verdikte wortelstok
LOOG	Alkalische substantie
MEEL	Gemalen graan
MIDI	Formaat
PERM	Geologisch tijdperk
QUAD	Motorfiets of brommer
STEK	Afgesneden takje
WAAS	Nevelsluier
FLOP	Mislukking
HARP	Instrument
TROL	Groot
TULP	Bloem van een plant
BAT	Schot van planken
YEN	Koud
BOUT	Stuk vlees
DEMI	Overjas van dunne stof
DOPE	Stimulerende
LILA	Lichtpaars
SODA	Water
TREF	Stad
KIK	Hemel
TIG	Groot aantal
DIES	Jaarlijkse feestdag
DONK	Heuvel bestaande
EMIR	Arabische vorst
FUNK	Stank
KRAS	Nog sterk
KWAL	Vrijzwemmend
RAAF	Corvus corax
SLOK	Mondvol vloeistof
TAAI	Moeizaam
OEI	Uitroep
XTC	Afkorting voor ecstasy
BODE	Baden
BROM	Broom
DEUK	Vervorming
LADE	Bevrachten
SARI	Indiaase gewaad
LOC	Slot
ZOT	Dwaas
GESP	Beugel met tong of pin
MARE	Gerucht
MIMI	Klein tafeltje
JEU	Wat zwier
NAW	Negen
BIEB	Bibliotheek
GAAL	Spleet die ontstaat
KOTS	Braaksel
OASE	Plek in een woestijn
SAGA	Omvangrijke vertelling
FOK	Bril
POS	Vis behorend
ACID	Zuur
AURA	Energieveld dat mensen
BLOW	Trekje aan een joint
DISK	Schijf
KART	Kaart
LANS	Lang steekwapen
MORA	Lengte van een klank
TB	Ziekte veroorzaakt
HIJS	Hoeveelheid
NAR	Zot
CITO	Met spoed
DONG	Munteenheid van Vietnam
JUNK	Troep
KIEL	Verlenging
KIEM	Beginsel
KLOS	Spoel
KRAT	Houten of plastic doos
LOCO	Merkloos geneesmiddel
PILS	Lagerbier
ROOT	Wortel
TUNE	Tuin
ZEIK	Urine
BEHA	Kledingstuk voor vrouwen
BEUL	Wreedaard
GLEE	Dunne
KOOG	Polder
MALS	Zacht en sappig
ROES	Lichte bedwelming
IA	Hij
TRI	Afkorting
MATA	Oog
PAIR	Twee kaarten met dezelfde
POPE	Priester
SPAR	Paal
TROS	Bloeiwijze
VETO	Recht
MEP	Klap met de hand
BOBO	Bestuurder
FOOI	Gift in de vorm
GEUS	Gegoten ijzer
GIER	Uiterst hebzuchtig
IKKE	Niet
KAFT	Bekleedsel
POEN	Geld
SPIL	Kaapstander
WALS	Zware rol
BIS	Extra toevoegsel
