word	current_clue
NON	Inwoonster
HIGH	Hoog
PAPA	Informele benaming
TREK	Verlangen naar eten
BEEN	Ledemaat
DIER	Kostbaar
TERM	Woord of uitdrukking
TOON	Geluid
HUID	Vel
KLIK	Kort
DO	Bepaalde toon
CEL	Kleine ruimte
GAS	Idem
KIM	Horizon
KUT	Vrouwelijk schaamdeel
ENIG	Leuk
RIJKE	Iemand die veel bezit
STER	Hemellichaam
LOT	Toevalskans
QUA	Wat betreft
DANS	Binnen
GEEL	Kleur hebbend
PIET	Knecht van Sinterklaas
BLIK	Metaal
HOUT	Materiaal
KILO	Informele afkorting
RAND	Buitenkant
GO	Japans bordspel
CUP	Beker die dient
FASE	Periode als onderdeel
KAST	Meubel
MAAN	Satelliet
ROZE	Hebbend
COOL	Geweldig
GOOI	Handeling
LIED	Muzikale vorm
LOGO	Verkorting
NABIJ	Dichtbij
BAK	Grap of mop
MIST	Laaghangende bewolking
RAAM	Kader
STAR	Verstijfd en onbuigzaam
GAT	Opening of holte
JAS	Kledingstuk
SET	Klein aantal
TIP	Uiterste punt
HA	Begroeting
HOT	Draagkorf
LOL	Plezier
POP	Nagemaakte mens
VAK	Beroep
HUUR	Tijdelijk gebruik
MARS	Regelmatige manier
ROOK	Zichtbaar mengsel
WILD	Niet tam
ZAAL	Grote ruimte
ZIEL	Wezen
IJS	Vaste vorm van water
ELF	Mythologisch wezen
OPA	Vader van een ouder
BOER	Landbouwer
KNAP	Verstandig
PUUR	Zuiver
DAS	Strop
DEL	Ordinaire vrouw
NEK	Achterste gedeelte
SMS	Dienst om met behulp
BUIK	Onderste deel
DURF	Vermogen
MODE	Smaak waarin kleding
MOED	Dapperheid
ZAND	Losse massa die bestaat
ZONE	Gebied
ZWAK	Tekortkomend in kracht
DJ	Verzorger van muziek
GAY	Homoseksueel
VET	Goed gevuld dik
PAND	Zakelijk recht
ZIJDE	Grenslijn
AIR	Gezicht
FAN	Enthousiaste aanhanger
BORD	Schijfvormig voorwerp
GAUW	Zeer binnenkort
KAAS	Blanke Nederlander
KLOK	Instrument
MAAL	Tijdstip
AD	Bij
AH	Ach
ROB	Zeehond
BACK	Verdediger
DEAL	Overeenkomst
LOON	Financiële vergoeding
LUXE	Duur
MELK	Voedzame vocht
BTW	Afkorting
NAT	Gedrenkt
TEL	Zeer korte tijdsduur
MAKE	Vervaardigen
NEEF	Zoon van iemands oom
DAM	Relatief smalle
JOB	Baan
OOM	Broer of zwager
BLAD	Plat
BLOK	Draaischijf
RAMP	Helling
PA	Vader
BAS	Zanger
KIP	Munteenheid van Laos
WOW	Uitroep van verbazing
AARD	Wezen
ADAM	Man
GRAS	Bepaalde groep
KERN	Meest belangrijke
HEL	Toestand van straf
POT	Vrouw
FILE	Lange rij
JURY	Groep mensen
MINI	Klein
NICK	Stelen
ROCK	Dansstijl horende
TAXI	Voertuig bestemd
DVD	Afkorting
LIJF	Lichaam
HIT	Succesvol lied
PIK	Zeis
DOOS	Vagina
LADY	Beleefde aanduiding
SAAI	Vervelend
DON	Spaanse
DUO	Twee personen
ENG	Angst veroorzakend
PEN	Instrument
LIFT	Draagkracht
SOEP	Vloeibaar gerecht
ES	Soort loofboom
OR	Goud
WC	Toilet
NEP	Onecht
RAS	Groep van dieren
BOEL	Verzameling
BRAK	Jachthond
FLES	Langgerekt
GEIL	Zaadvocht
HOER	Vrouw
KEUS	Gelegenheid
TENT	Café
VENT	Kerel
EVA	Vrouw
GOLD	Goud
EI	Vrouwelijke kiemcel
BOX	Doos
DIJK	Opgeworpen aarden wal
PAN	Brood
SLA	Bladgroente
DUEL	Gevecht
GRAF	Ruimte om één
KNOP	Klein
LACH	Melk
RAAK	Zijn doel treffend
ERE	Dorsvloer
MES	Dun lang werktuig
CHEF	Baas
GAAF	Zonder beschadiging
JURK	Kledingstuk voor vrouwen
NOOD	Gebrek
STOM	Geluidloos
BOY	Jongen
HAL	Hardheid
KOK	Iemand die het bereiden
LUI	Werkschuw
BEK	Snavel van vogels
ROT	Proces
AU	Uitroep van pijn
END	Uiterste deel
NUL	Niks
BEER	Van de roofdieren
BOND	Vereniging
BRIL	Optisch instrument
DOWN	Gedeprimeerd
KEEL	Voorste
KLAP	Plotselinge
PLAT	Vlak van vorm
VERS	Nieuw
ZOUT	Alledaagse naam
HO	Uitroep
RE	Bepaalde muzieknoot
ZOO	Verzameling levende
BELT	Stortplaats voor afval
FORT	Sterk
VUIL	Niet schoon
MIX	Mengsel
KEES	Tabakspruim
MORE	Eenheid van tijdsduur
ROEP	Faam
GE	In Nederland verouderd
LAB	Ruimte ingericht
LIJK	Dood lichaam
CENT	Honderdste deel
PROF	Verkorte vorm
AI	Tandarm dier
